checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH967,10:30p.m.,12:45a.m.,Economy Standard,1851.30,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,12:00p.m.,5:20p.m.,Economy Standard,1233.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,12:00p.m.,5:20p.m.,Economy Standard,1276.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,12:00p.m.,5:20p.m.,Economy Standard,1861.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,11:00a.m.,5:20p.m.,Economy Standard,1232.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,11:00a.m.,5:20p.m.,Economy Standard,1275.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,11:00a.m.,5:20p.m.,Economy Standard,1860.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,10:00a.m.,5:20p.m.,Economy Standard,1232.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,10:00a.m.,5:20p.m.,Economy Standard,1275.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,10:00a.m.,5:20p.m.,Economy Standard,1860.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,8:45a.m.,5:20p.m.,Economy Standard,1233.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,8:45a.m.,5:20p.m.,Economy Standard,1276.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,8:45a.m.,5:20p.m.,Economy Standard,1861.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,7:25a.m.,5:20p.m.,Economy Standard,1233.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,7:25a.m.,5:20p.m.,Economy Standard,1276.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,7:25a.m.,5:20p.m.,Economy Standard,1861.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,6:40a.m.,5:20p.m.,Economy Standard,1232.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,6:40a.m.,5:20p.m.,Economy Standard,1275.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,6:40a.m.,5:20p.m.,Economy Standard,1860.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,9:00p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,9:00p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,9:00p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1207.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1250.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1687.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,7:15p.m.,10:35a.m.,Economy Standard,1207.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,7:15p.m.,10:35a.m.,Economy Standard,1250.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,7:15p.m.,10:35a.m.,Economy Standard,1687.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,7:00p.m.,10:35a.m.,Economy Standard,1207.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,7:00p.m.,10:35a.m.,Economy Standard,1250.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,7:00p.m.,10:35a.m.,Economy Standard,1687.40,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,4:25p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,4:25p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,4:25p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,3:15p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,3:15p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH973,3:15p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,9:00p.m.,5:20p.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,9:00p.m.,5:20p.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,9:00p.m.,5:20p.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,8:30p.m.,5:20p.m.,Economy Standard,1207.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,8:30p.m.,5:20p.m.,Economy Standard,1250.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH975,8:30p.m.,5:20p.m.,Economy Standard,1687.10,USD
2026-07-22,Oct 20 (Tue),OW,1,HND,PVG,NH965,11:10a.m.,7:40p.m.,Economy Standard,1466.50,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH971,6:35p.m.,8:40p.m.,Economy Standard,1223.30,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH971,6:35p.m.,8:40p.m.,Economy Standard,1266.30,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH971,6:35p.m.,8:40p.m.,Economy Standard,1851.30,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH967,10:30p.m.,12:45a.m.,Economy Standard,1223.30,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH967,10:30p.m.,12:45a.m.,Economy Standard,1266.30,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH967,10:30p.m.,12:45a.m.,Economy Standard,1851.30,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,12:00p.m.,5:20p.m.,Economy Standard,1233.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,12:00p.m.,5:20p.m.,Economy Standard,1276.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,12:00p.m.,5:20p.m.,Economy Standard,1861.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,11:00a.m.,5:20p.m.,Economy Standard,1232.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,11:00a.m.,5:20p.m.,Economy Standard,1275.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,11:00a.m.,5:20p.m.,Economy Standard,1860.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,10:00a.m.,5:20p.m.,Economy Standard,1232.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,10:00a.m.,5:20p.m.,Economy Standard,1275.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,10:00a.m.,5:20p.m.,Economy Standard,1860.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,8:45a.m.,5:20p.m.,Economy Standard,1233.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,8:45a.m.,5:20p.m.,Economy Standard,1276.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,8:45a.m.,5:20p.m.,Economy Standard,1861.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,7:25a.m.,5:20p.m.,Economy Standard,1233.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,7:25a.m.,5:20p.m.,Economy Standard,1276.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,7:25a.m.,5:20p.m.,Economy Standard,1861.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,6:40a.m.,5:20p.m.,Economy Standard,1232.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,6:40a.m.,5:20p.m.,Economy Standard,1275.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,6:40a.m.,5:20p.m.,Economy Standard,1860.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,9:00p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,9:00p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,9:00p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1207.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1250.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,8:30p.m.,10:35a.m.,Economy Standard,1687.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,7:15p.m.,10:35a.m.,Economy Standard,1207.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,7:15p.m.,10:35a.m.,Economy Standard,1250.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,7:15p.m.,10:35a.m.,Economy Standard,1687.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,7:00p.m.,10:35a.m.,Economy Standard,1207.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,7:00p.m.,10:35a.m.,Economy Standard,1250.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,7:00p.m.,10:35a.m.,Economy Standard,1687.40,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,4:25p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,4:25p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,4:25p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,3:15p.m.,10:35a.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,3:15p.m.,10:35a.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH973,3:15p.m.,10:35a.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,9:00p.m.,5:20p.m.,Economy Standard,1208.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,9:00p.m.,5:20p.m.,Economy Standard,1251.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,9:00p.m.,5:20p.m.,Economy Standard,1688.70,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,8:30p.m.,5:20p.m.,Economy Standard,1207.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,8:30p.m.,5:20p.m.,Economy Standard,1250.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH975,8:30p.m.,5:20p.m.,Economy Standard,1687.10,USD
2026-07-22,Oct 21 (Wed),OW,1,HND,PVG,NH965,11:10a.m.,7:40p.m.,Economy Standard,1466.50,USD
