checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,1971.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,2014.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,2667.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,4311.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,3061.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,3147.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,1971.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2014.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2981.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,4311.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2642.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2728.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,1971.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,2014.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,2667.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,4311.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,1873.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,1959.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2033.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2076.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2729.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,4373.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2704.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2790.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH205,10:45p.m.,8:30a.m.,Economy Value,2617.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH205,10:45p.m.,8:30a.m.,Economy Value,2660.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH205,10:45p.m.,8:30a.m.,Economy Value,2722.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2033.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2076.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2729.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,4373.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,1935.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2021.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,2018.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,2061.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,2714.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,4358.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,3108.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,3194.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,2608.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,2651.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,2713.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,4357.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,3107.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,3193.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2033.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2076.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2729.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,4373.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2704.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2790.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH205,10:45p.m.,9:30a.m.,Economy Value,2617.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH205,10:45p.m.,9:30a.m.,Economy Value,2660.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH205,10:45p.m.,9:30a.m.,Economy Value,2722.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2033.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2076.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2729.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,4373.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,1935.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2021.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6635,9:45p.m.,10:05a.m.,Economy Value,2936.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6635,9:45p.m.,10:05a.m.,Economy Value,2979.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6635,9:45p.m.,10:05a.m.,Economy Value,3047.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2033.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2076.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2729.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,4373.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2704.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2790.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5643,10:45p.m.,8:30a.m.,Economy Value,2617.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5643,10:45p.m.,8:30a.m.,Economy Value,2660.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2033.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2076.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2729.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,4373.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,1935.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2021.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,2018.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,2061.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,2714.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,4358.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,3108.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,3194.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,2608.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,2651.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,2713.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,4357.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,3107.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,3193.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2057.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2100.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2753.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,4397.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2728.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2814.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,2018.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,2061.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,2714.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,4358.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,3108.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,3194.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Standard,1971.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,1971.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,2014.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,2667.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,4311.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,3061.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH223,9:40a.m.,5:25p.m.,Economy Value,3147.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,1971.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2014.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2981.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,4311.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2642.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5853,11:45a.m.,7:00p.m.,Economy Value,2728.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,1971.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,2014.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,2667.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,4311.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,1873.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH203,9:40p.m.,5:20a.m.,Economy Value,1959.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2033.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2076.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2729.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,4373.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2704.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,7:00p.m.,Economy Value,2790.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH205,10:45p.m.,8:30a.m.,Economy Value,2617.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH205,10:45p.m.,8:30a.m.,Economy Value,2660.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH205,10:45p.m.,8:30a.m.,Economy Value,2722.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2033.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2076.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2729.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,4373.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,1935.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,9:00a.m.,Economy Value,2021.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,2018.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,2061.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,2714.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,4358.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,3108.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,8:05p.m.,Economy Value,3194.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,2608.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,2651.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,2713.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,4357.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,3107.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH215,9:35a.m.,8:00p.m.,Economy Value,3193.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2033.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2076.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2729.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,4373.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2704.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5851,9:25a.m.,8:00p.m.,Economy Value,2790.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH205,10:45p.m.,9:30a.m.,Economy Value,2617.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH205,10:45p.m.,9:30a.m.,Economy Value,2660.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH205,10:45p.m.,9:30a.m.,Economy Value,2722.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2033.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2076.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2729.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,4373.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,1935.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH217,10:55p.m.,10:00a.m.,Economy Value,2021.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6635,9:45p.m.,10:05a.m.,Economy Value,2936.00,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6635,9:45p.m.,10:05a.m.,Economy Value,2979.00,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6635,9:45p.m.,10:05a.m.,Economy Value,3047.00,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2033.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2076.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2729.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,4373.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2704.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6060,9:25a.m.,7:00p.m.,Economy Value,2790.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5643,10:45p.m.,8:30a.m.,Economy Value,2617.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5643,10:45p.m.,8:30a.m.,Economy Value,2660.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2033.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2076.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2729.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,4373.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,1935.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,10:55p.m.,9:00a.m.,Economy Value,2021.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,2018.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,2061.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,2714.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,4358.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,3108.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6138,9:55a.m.,8:05p.m.,Economy Value,3194.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,2608.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,2651.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,2713.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,4357.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,3107.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH6019,9:35a.m.,8:00p.m.,Economy Value,3193.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2057.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2100.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2753.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,4397.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2728.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH5436,9:25a.m.,9:00a.m.,Economy Value,2814.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,2018.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,2061.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,2714.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,FRA,NH211,9:55a.m.,9:05p.m.,Economy Value,4358.90,USD
